単語,品詞,意味
black,名詞,黒
white,名詞,白
luminous,形容詞,明るい
bloom,名詞,(特に観賞用の)花
egret,名詞,シラサギ
dream,名詞,夢
rouge,名詞,口紅、ルージュ
lemonade,名詞,レモネード
mint,名詞,ハッカ
aqua,名詞,水、水溶液
rose,名詞,バラ
peach,名詞,桃
berry,名詞,ベリー、液果
pine,名詞,マツ(の木)
passion,名詞,情熱
blossom,名詞,花、開花
marine,形容詞,海洋の、海に住む
sunshine,名詞,日光
moonlight,名詞,月光
melody,名詞,メロディー、旋律
rhythm,名詞,リズム、律動
beat,動詞,連打する、叩く
muse,動詞,熟考する、黙想する
happy,形容詞,幸福な
sunny,形容詞,日が照る
peace,名詞,平和
march,動詞,行進する
beauty,名詞,美しさ
heart,名詞,心臓、愛情
diamond,名詞,ダイヤモンド
rosetta,名詞,花模様のラテアート、都市名等
sword,名詞,剣
ace,名詞,（トランプの）エース
lovely,形容詞,かわいらしい、愛嬌のある
princess,名詞,王女
honey,名詞,はちみつ
fortune,名詞,運、幸運
flora,名詞,植物相
mermaid,名詞,人魚
twinkle,動詞,きらきら光る
scarlet,名詞,深紅色
miracle,名詞,奇跡
magical,形容詞,魔法のような
felice,名詞,人名(イタリア語で幸福の意味)
whip,動詞,〜を鞭打つ、〜（クリームなどを）泡立たせる
custard,名詞,カスタード
gelato,名詞,ジェラート(菓子名)
macaron,名詞,マカロン(菓子名)
chocolat,名詞,ショコラ(菓子名)
parfait,名詞,パフェ(菓子名)
echo,名詞,こだま、反響
